TagName,TagValue,TagQuality
ER_LINES.LINE.GZW-JPE1.MW,#N/A,0
ER_LINES.LINE.GZW-JPE2.MW,#N/A,0
ER_LINES.LINE.MRM-BOL.MW,#N/A,0
ER_LINES.LINE.MRM-GMR1.MW,#N/A,0
ER_LINES.LINE.MRM-TSP2.MW,#N/A,0
ER_LINES.LINE.PUR-MLD1.MW,#N/A,0
ER_LINES.LINE.BNG-MLD.MW,#N/A,0
ER_LINES.LINE.BNG-PUR.MW,#N/A,0
ER_LINES.LINE.BGG-BNG1.MW,#N/A,0
ER_LINES.LINE.BGG-BNG2.MW,#N/A,0
ER_LINES.LINE.IVT-RGP.MW,-27.844891,1
ER_LINES.LINE.SAS-BSG1.MW,#N/A,0
ER_LINES.LINE.SAS-BSG2.MW,#N/A,0
ER_LINES.LINE.SAR-SAS.MW,#N/A,0
ER_LINES.LINE.ALD-SAS.MW,#N/A,0
ER_LINES.LINE.RKL-RPR1.MW,#N/A,0
ER_LINES.LINE.RKL-STER2.MW,#N/A,0
ER_LINES.LINE.JPE-IVT.MW,#N/A,0
ER_LINES.LINE.IVP-IVT.MW,#N/A,0
ER_LINES.LINE.BRD-KHA.MW,#N/A,0
ER_LINES.LINE.RGL-BRD.MW,#N/A,0
ER_LINES.LINE.KLG-JRT.MW,#N/A,0
ER_LINES.LINE.ARB-BKW.MW,-140.729828,1
ER_LINES.LINE.ARB-KLG.MW,-39.598133,1
ER_LINES.LINE.JRT-BKW.MW,#N/A,0
ER_LINES.LINE.DKL-PUR1.MW,#N/A,0
ER_LINES.LINE.DKL-PUR2.MW,#N/A,0
ER_LINES.LINE.BRP-SLG1.MW,#N/A,0
ER_LINES.LINE.BRP-SLG2.MW,#N/A,0
ER_LINES.LINE.BRP-BNG1.MW,#N/A,0
ER_LINES.LINE.BRP-BNG2.MW,#N/A,0
ER_LINES.LINE.BNG-SLG1.MW,#N/A,0
ER_LINES.LINE.BNG-SLG2.MW,#N/A,0
ER_LINES.LINE.SLG-DKL1.MW,#N/A,0
ER_LINES.LINE.SLG-DKL2.MW,#N/A,0
ER_LINES.LINE.DKL-MLD1.MW,#N/A,0
ER_LINES.LINE.DKL-MLD2.MW,#N/A,0
ER_LINES.LINE.CKA-BRP1.MW,#N/A,0
ER_LINES.LINE.CKA-BRP2.MW,#N/A,0
ER_LINES.LINE.BRP-SGN.MW,#N/A,0
ER_LINES.LINE.SAS-ARH1.MW,#N/A,0
ER_LINES.LINE.SAS-ARH2.MW,#N/A,0
ER_LINES.LINE.PUR-DKL1.MW,#N/A,0
ER_LINES.LINE.PUR-DKL2.MW,#N/A,0
ER_LINES.LINE.SLG-BRP1.MW,#N/A,0
ER_LINES.LINE.SLG-BRP2.MW,#N/A,0
ER_LINES.LINE.BNG-BRP1.MW,#N/A,0
ER_LINES.LINE.BNG-BRP2.MW,#N/A,0
ER_LINES.LINE.SLG-BNG1.MW,#N/A,0
ER_LINES.LINE.SLG-BNG2.MW,#N/A,0
ER_LINES.LINE.DKL-SLG1.MW,#N/A,0
ER_LINES.LINE.DKL-SLG2.MW,#N/A,0
